Administering_IC_K99,Congressional_District_K99,Department_K99,Organization_Name_K99,Organization_City_K99,Organization_State_K99,Organization_Type_K99,Funding_IC.s._K99,K99_inst_pub_priv,same_dept,same_insti,Administering_IC_R00,Congressional_District_R00,Department_R00,Organization_Name_R00,Organization_City_R00,Organization_State_R00,Organization_Type_R00,Fiscal_Year_R00,Funding_IC.s._R00,R00_inst_pub_priv,Grant_type,Retained_Y_N,years_to_obtain_R01,Obtained_R01,ga_gender,K99_pub_priv,R00_pub_priv,Top_25_NIH_funding_K99,Top_25_NIH_funding_R00
NIBIB,12,RADIATION-DIAGNOSTIC/ONCOLOGY,U_OF_CALIFORNIA_SAN_FRANCISCO_K99,SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,NIBIB,public,FALSE,FALSE,NIBIB,12,UnavaiLABle,SLOAN-KETTERING_INST_CAN_RES_R00,NEW YORK,NY,Research Institutes,2013,NIBIB,Private,R01,LEFT,3,YES,male,public,Private,YES,YES
NIAID,21,Unavailable,TRUDEAU_INST_INC_K99,SARANAC LAKE,NY,Research Institutes,NIAID,Private,TRUE,FALSE,NIAID,18,Unavailable,CHILDRENS_HOSP_PITTSBURGH/UPMC_HLTH_SYS_R00,PITTSBURGH,PA,Independent Hospitals,2008,NIAID,Private,R01,LEFT,3,YES,female,private,Private,NO,NO
NHLBI,7,SOCIAL SCIENCES,HARVARD_SCH_OF_PUBLIC_HEALTH_K99,BOSTON,MA,SCHOOLS OF PUBLIC HEALTH,NHLBI,Private,FALSE,FALSE,NHLBI,33,UnavaiLABle,RAND_CORPORATION_R00,SANTA MONICA,CA,Research Institutes,2010,NHLBI,Private,R01,LEFT,4,YES,male,Private,Private,NO,NO
NIEHS,7,GENETICS,HARVARD_SCH_OF_PUBLIC_HEALTH_K99,BOSTON,MA,SCHOOLS OF PUBLIC HEALTH,NIEHS,Private,FALSE,FALSE,NIEHS,7,PHARMACOLOGY,NORTHEASTERN_U_R00,BOSTON,MA,SCHOOLS OF PHARMACY,2012,NIEHS,Private,Unknown,LEFT,10,NO,male,Private,Private,NO,NO
NHLBI,7,UnavaiLABle,BOSTON_CHILDRENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NHLBI,Private,TRUE,FALSE,NHLBI,12,UnavaiLABle,SLOAN-KETTERING_INST_CAN_RES_R00,NEW YORK,NY,Research Institutes,2012,NHLBI,Private,R01,LEFT,4,YES,male,Private,Private,NO,YES
NIDCR,3,DENTISTRY,U_OF_FLORIDA_K99,GAINESVILLE,FL,SCHOOLS OF DENTISTRY/ORAL HYGN,NIDCR,public,FALSE,FALSE,NIDCR,1,UnavaiLABle,CINCINNATI_CHILDRENS_HOSP_MED_CTR_R00,CINCINNATI,OH,Independent Hospitals,2015,NIDCR,Private,Unknown,LEFT,7,NO,male,public,Private,NO,NO
NIGMS,49,UnavaiLABle,SCRIPPS_RES_INST_THE_K99,LA JOLLA,CA,Other Domestic Non-Profits,NIGMS,Private,FALSE,FALSE,NIGMS,14,NONE,ALBERT_EINSTEIN_COLL_OF_MED_R00,BRONX,NY,UNIVERSITY-WIDE,2022,NIGMS,Private,Unknown,LEFT,0,NO,male,Private,Private,YES,NO
NCI,7,UnavaiLABle,BETH_ISRAEL_DEACONESS_MED_CTR_K99,BOSTON,MA,Independent Hospitals,NCI,Private,TRUE,TRUE,NCI,7,UnavaiLABle,BETH_ISRAEL_DEACONESS_MED_CTR_R00,BOSTON,MA,Independent Hospitals,2009,NCI,Private,R01,STAYED,5,YES,male,Private,Private,NO,NO
NHLBI,7,UnavaiLABle,BETH_ISRAEL_DEACONESS_MED_CTR_K99,BOSTON,MA,Independent Hospitals,NHLBI,Private,TRUE,TRUE,NHLBI,7,UnavaiLABle,BETH_ISRAEL_DEACONESS_MED_CTR_R00,BOSTON,MA,Independent Hospitals,2008,NHLBI,Private,R01,STAYED,2,YES,female,Private,Private,NO,NO
NCI,7,UnavaiLABle,WHITEHEAD_INST_FOR_BIOMED_RES_K99,CAMBRIDGE,MA,Research Institutes,NCI,Private,TRUE,FALSE,NCI,7,UnavaiLABle,HARVARD_SCH_OF_PUBLIC_HEALTH_R00,BOSTON,MA,Domestic Higher Education,2021,NCI,Private,Unknown,LEFT,2,NO,female,Private,Private,NO,NO
NINDS,13,BIOCHEMISTRY,COLUMBIA_U_HEALTH_SCI_K99,NEW YORK,NY,SCHOOLS OF MEDICINE,NINDS,Private,FALSE,FALSE,NINDS,1,BIOLOGY,U_OF_CHICAGO_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2016,NINDS,private,R01,LEFT,6,YES,male,Private,private,YES,NO
NIDDK,30,MICROBIOLOGY/IMMUN/VIROLOGY,UT_SOUTHWESTERN_MED_CTR_K99,DALLAS,TX,SCHOOLS OF MEDICINE,NIDDK,Public,FALSE,FALSE,NIDDK,18,BIOLOGY,CARNEGIE-MELLON_U_R00,PITTSBURGH,PA,SCHOOLS OF ARTS AND SCIENCES,2021,NIDDK,Private,Unknown,LEFT,2,NO,male,Public,Private,NO,NO
NIDDK,3,PHARMACOLOGY,YALE_U_K99,NEW HAVEN,CT,SCHOOLS OF MEDICINE,NIDDK,Private,FALSE,FALSE,NIDDK,7,PHYSIOLOGY,LOYOLA_U_CHICAGO_R00,MAYWOOD,IL,SCHOOLS OF MEDICINE,2017,NIDDK,private,Unknown,LEFT,5,NO,female,Private,private,YES,NO
NCI,4,PHARMACOLOGY,DUKE_U_K99,DURHAM,NC,SCHOOLS OF MEDICINE,NCI,Private,TRUE,FALSE,NCI,2,PHARMACOLOGY,DARTMOUTH_COLL_R00,HANOVER,NH,SCHOOLS OF MEDICINE,2012,NCI,Private,Unknown,LEFT,10,NO,male,Private,Private,YES,NO
NHLBI,4,INTERNAL MEDICINE/MEDICINE,U_OF_NORTH_CAROLINA_CHAPEL_HILL_K99,CHAPEL HILL,NC,SCHOOLS OF MEDICINE,NHLBI,Public,FALSE,FALSE,NHLBI,1,BIOLOGY,U_OF_DENVER_(COLORADO_SEMINARY)_R00,DENVER,CO,SCHOOLS OF ARTS AND SCIENCES,2017,NHLBI,Private,R01,LEFT,5,YES,male,Public,Private,YES,NO
NLM,3,BIOSTATISTICS & OTHER MATH SCI,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,NLM,Private,FALSE,FALSE,NLM,7,UnavaiLABle,BOSTON_CHILDRENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2021,NLM,Private,Unknown,LEFT,1,NO,male,Private,Private,YES,NO
NIA,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NIA,Private,FALSE,FALSE,NIA,7,DERMATOLOGY,BOSTON_U_MED_CAMPUS_R00,BOSTON,MA,SCHOOLS OF MEDICINE,2014,NIA,Private,R01,LEFT,6,YES,male,Private,Private,YES,NO
NIDCR,37,DENTISTRY,U_OF_SOUTHERN_CALIFORNIA_K99,Los Angeles,CA,SCHOOLS OF DENTISTRY/ORAL HYGN,NIDCR,Private,FALSE,FALSE,NIDCR,12,OTHER BASIC SCIENCES,NEW_YORK_U_R00,NEW YORK,NY,SCHOOLS OF DENTISTRY/ORAL HYGN,2014,NIDCR,Private,R01,LEFT,3,YES,male,Private,Private,NO,YES
NIGMS,18,GENETICS,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIGMS,Private,FALSE,FALSE,NIGMS,20,UnavaiLABle,WADSWORTH_CTR_R00,MENANDS,NY,Research Institutes,2008,NIGMS,Private,R01,LEFT,4,YES,male,Private,Private,YES,NO
NINDS,2,PHARMACOLOGY,U_OF_UTAH_K99,SALT LAKE CITY,UT,SCHOOLS OF PHARMACY,NINDS,public,FALSE,FALSE,NINDS,5,ANATOMY/CELL BIOLOGY,MED_COLL_OF_WISCONSIN_R00,MILWAUKEE,WI,SCHOOLS OF MEDICINE,2021,NINDS,Private,Unknown,LEFT,2,NO,female,public,Private,NO,NO
NIGMS,13,BIOCHEMISTRY,U_OF_CALIFORNIA_BERKELEY_K99,BERKELEY,CA,SCHOOLS OF ARTS AND SCIENCES,NIGMS,public,FALSE,FALSE,NIGMS,7,BIOLOGY,MASSACHUSETTS_INST_OF_TECH_R00,CAMBRIDGE,MA,SCHOOLS OF ARTS AND SCIENCES,2017,NIGMS,Private,R01,LEFT,5,YES,female,public,Private,NO,NO
NIA,49,UnavaiLABle,SANFORD_BURNHAM_PREBYS_MED_DISCOVERY_INST_K99,LA JOLLA,CA,Research Institutes,NIA,Private,FALSE,FALSE,NIA,1,BIOCHEMISTRY,BROWN_U_R00,PROVIDENCE,RI,SCHOOLS OF MEDICINE,2015,NIA,Private,R01,LEFT,2,YES,male,Private,Private,NO,NO
NCI,11,OTHER BASIC SCIENCES,CLEVELAND_CLINIC_LERNER_COM-CWRU_K99,CLEVELAND,OH,SCHOOLS OF MEDICINE,NCI,Private,TRUE,TRUE,NCI,11,OTHER BASIC SCIENCES,CLEVELAND_CLINIC_LERNER_COM-CWRU_R00,CLEVELAND,OH,SCHOOLS OF MEDICINE,2012,NCI,Private,R01,STAYED,2,YES,male,Private,Private,NO,NO
NCI,49,UnavaiLABle,SANFORD_BURNHAM_PREBYS_MED_DISCOVERY_INST_K99,LA JOLLA,CA,Research Institutes,NCI,Private,TRUE,FALSE,NCI,14,UnavaiLABle,H_LEE_MOFFITT_CANCER_CTR_&_RES_INST_R00,TAMPA,FL,Research Institutes,2015,NCI,Private,R01,LEFT,5,YES,male,Private,Private,NO,NO
NICHD,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NICHD,Private,FALSE,FALSE,NICHD,5,BIOLOGY,BRANDEIS_U_R00,WALTHAM,MA,SCHOOLS OF ARTS AND SCIENCES,2009,NICHD,Private,R01,LEFT,7,YES,male,Private,Private,YES,NO
NCI,37,PUBLIC HEALTH & PREV MEDICINE,U_OF_SOUTHERN_CALIFORNIA_K99,Los Angeles,CA,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,28,UnavaiLABle,CEDARS-SINAI_MED_CTR_R00,LOS ANGELES,CA,Independent Hospitals,2015,NCI,Private,Unknown,LEFT,7,NO,female,Private,Private,NO,NO
NHGRI,4,OTHER HEALTH PROFESSIONS,U_OF_NORTH_CAROLINA_CHAPEL_HILL_K99,CHAPEL HILL,NC,SCHOOLS OF MEDICINE,NHGRI,Public,FALSE,FALSE,NHGRI,9,INTERNAL MEDICINE/MEDICINE,BAYLOR_COLL_OF_MED_R00,HOUSTON,TX,SCHOOLS OF MEDICINE,2017,NHGRI,Private,R01,LEFT,5,YES,male,Public,Private,YES,NO
NIGMS,2,ANATOMY/CELL BIOLOGY,U_OF_MASSACHUSETTS_MED_SCH_WORCESTER_K99,WORCESTER,MA,SCHOOLS OF MEDICINE,NIGMS,Public,FALSE,FALSE,NIGMS,1,GENETICS,U_OF_CHICAGO_R00,CHICAGO,IL,SCHOOLS OF MEDICINE,2016,NIGMS,private,R01,LEFT,4,YES,male,Public,private,NO,NO
NIBIB,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIBIB,Private,FALSE,FALSE,NIBIB,1,NONE,BROWN_U_R00,PROVIDENCE,RI,BIOMED ENGR/COL ENGR/ENGR STA,2016,NIBIB,Private,R01,LEFT,5,YES,male,Private,Private,YES,NO
NIAID,1,INTERNAL MEDICINE/MEDICINE,WASHINGTON_U_K99,SAINT LOUIS,MO,SCHOOLS OF MEDICINE,NIAID,Private,FALSE,FALSE,NIAID,1,MICROBIOLOGY/IMMUN/VIROLOGY,BROWN_U_R00,PROVIDENCE,RI,SCHOOLS OF MEDICINE,2020,NIAID,Private,Unknown,LEFT,2,NO,male,Private,Private,YES,NO
NIA,7,UnavaiLABle,BETH_ISRAEL_DEACONESS_MED_CTR_K99,BOSTON,MA,Independent Hospitals,NIA,Private,TRUE,TRUE,NIA,7,UnavaiLABle,BETH_ISRAEL_DEACONESS_MED_CTR_R00,BOSTON,MA,Independent Hospitals,2011,NIA,Private,Unknown,STAYED,11,NO,male,Private,Private,NO,NO
NINDS,7,UnavaiLABle,BOSTON_CHILDRENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NINDS,Private,TRUE,TRUE,NINDS,7,UnavaiLABle,BOSTON_CHILDRENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2012,NINDS,Private,R01,STAYED,3,YES,female,Private,Private,NO,NO
NHLBI,6,ANATOMY/CELL BIOLOGY,U_OF_SOUTH_CAROLINA_AT_COLUMBIA_K99,COLUMBIA,SC,SCHOOLS OF MEDICINE,NHLBI,Public,FALSE,FALSE,NHLBI,5,PHARMACOLOGY,MED_COLL_OF_WISCONSIN_R00,MILWAUKEE,WI,SCHOOLS OF MEDICINE,2011,NHLBI,Private,Unknown,LEFT,11,NO,male,Public,Private,NO,NO
NIDCR,5,BIOLOGY,GEORGIA_INST_OF_TECH_K99,ATLANTA,GA,SCHOOLS OF ARTS AND SCIENCES,NIDCR,Public,FALSE,FALSE,NIDCR,11,PATHOLOGY,CASE_WESTERN_RESERVE_U_R00,CLEVELAND,OH,SCHOOLS OF MEDICINE,2022,NIDCR,Private,Unknown,LEFT,0,NO,female,Public,Private,NO,NO
NIGMS,27,ENGINEERING (ALL TYPES),CALIFORNIA_INST_OF_TECH_K99,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,NIGMS,Private,FALSE,FALSE,NIGMS,1,CHEMISTRY,U_OF_CHICAGO_R00,CHICAGO,IL,SCHOOLS OF ARTS AND SCIENCES,2011,NIGMS,private,R01,LEFT,6,YES,male,Private,private,NO,NO
NIMH,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NIMH,Private,FALSE,FALSE,NIMH,7,ENGINEERING (ALL TYPES),BOSTON_U_(CHARLES_RIVER_CAMPUS)_R00,BOSTON,MA,BIOMED ENGR/COL ENGR/ENGR STA,2019,NIMH,Private,R01,LEFT,3,YES,female,Private,Private,YES,NO
NIGMS,12,PHARMACOLOGY,U_OF_CALIFORNIA_SAN_FRANCISCO_K99,SAN FRANCISCO,CA,SCHOOLS OF MEDICINE,NIGMS,public,FALSE,FALSE,NIGMS,7,BIOLOGY,MASSACHUSETTS_INST_OF_TECH_R00,CAMBRIDGE,MA,SCHOOLS OF ARTS AND SCIENCES,2015,NIGMS,Private,R35,LEFT,3,YES,male,public,Private,YES,NO
NIA,18,BIOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF ARTS AND SCIENCES,NIA,Private,FALSE,FALSE,NIA,9,GENETICS,BAYLOR_COLL_OF_MED_R00,HOUSTON,TX,SCHOOLS OF MEDICINE,2021,NIA,Private,Unknown,LEFT,2,NO,male,Private,Private,YES,NO
NCI,32,UnavaiLABle,BECKMAN_RES_INST/CITY_OF_HOPE_K99,DUARTE,CA,Research Institutes,NCI,Private,TRUE,TRUE,NCI,32,UnavaiLABle,BECKMAN_RES_INST/CITY_OF_HOPE_R00,DUARTE,CA,Research Institutes,2015,NCI,Private,R01,STAYED,3,YES,female,Private,Private,NO,NO
NICHD,27,NONE,CALIFORNIA_INST_OF_TECH_K99,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,NICHD,Private,FALSE,FALSE,NICHD,7,UnavaiLABle,WHITEHEAD_INST_FOR_BIOMED_RES_R00,CAMBRIDGE,MA,Research Institutes,2019,NICHD,Private,Unknown,LEFT,4,NO,male,Private,Private,NO,NO
NICHD,2,BIOCHEMISTRY,U_OF_MASSACHUSETTS_MED_SCH_WORCESTER_K99,WORCESTER,MA,SCHOOLS OF MEDICINE,NICHD,Public,TRUE,FALSE,NICHD,25,BIOCHEMISTRY,U_OF_ROCHESTER_R00,ROCHESTER,NY,SCHOOL OF MEDICINE & DENTISTRY,2015,NICHD,private,R35,LEFT,4,YES,male,Public,private,NO,NO
NICHD,2,BIOCHEMISTRY,U_OF_MASSACHUSETTS_MED_SCH_WORCESTER_K99,WORCESTER,MA,SCHOOLS OF MEDICINE,NICHD,Public,TRUE,FALSE,NICHD,25,BIOCHEMISTRY,U_OF_ROCHESTER_R00,ROCHESTER,NY,SCHOOL OF MEDICINE & DENTISTRY,2015,NICHD,private,R01,STAYED,2,YES,male,Public,private,NO,NO
NCI,3,GENETICS,U_OF_PENNSYLVANIA_K99,PHILADELPHIA,PA,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,4,UnavaiLABle,MAYO_CLINIC_JACKSONVILLE_R00,JACKSONVILLE,FL,Other Domestic Non-Profits,2013,NCI,Private,Unknown,LEFT,10,NO,male,Private,Private,YES,NO
NICHD,8,UnavaiLABle,MASSACHUSETTS_GENERAL_HOSP_K99,BOSTON,MA,Independent Hospitals,NICHD,Private,TRUE,FALSE,NICHD,7,UnavaiLABle,BOSTON_CHILDRENS_HOSP_R00,BOSTON,MA,Independent Hospitals,2017,NICHD,Private,Unknown,LEFT,5,NO,female,Private,Private,YES,NO
NHLBI,11,INTERNAL MEDICINE/MEDICINE,CASE_WESTERN_RESERVE_U_K99,CLEVELAND,OH,SCHOOLS OF MEDICINE,NHLBI,Private,TRUE,TRUE,NHLBI,11,INTERNAL MEDICINE/MEDICINE,CASE_WESTERN_RESERVE_U_R00,CLEVELAND,OH,SCHOOLS OF MEDICINE,2010,NHLBI,Private,R01,STAYED,4,YES,male,Private,Private,NO,NO
NHLBI,6,INTERNAL MEDICINE/MEDICINE,WAKE_FOREST_U_HEALTH_SCI_K99,WINSTON-SALEM,NC,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,FALSE,NHLBI,1,PHARMACOLOGY,TULANE_U_OF_LOUISIANA_R00,NEW ORLEANS,LA,SCHOOLS OF MEDICINE,2012,NHLBI,Private,R01,LEFT,6,YES,female,Private,Private,NO,NO
NIMH,18,PSYCHIATRY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NIMH,Private,FALSE,FALSE,NIMH,12,NEUROLOGY,WEILL_MED_COLL_OF_CORNELL_U_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2014,NIMH,Private,R01,LEFT,3,YES,male,Private,Private,YES,NO
NCI,1,INTERNAL MEDICINE/MEDICINE,U_OF_CHICAGO_K99,CHICAGO,IL,SCHOOLS OF MEDICINE,NCI,private,FALSE,FALSE,NCI,11,PATHOLOGY,CASE_WESTERN_RESERVE_U_R00,CLEVELAND,OH,SCHOOLS OF MEDICINE,2014,NCI,Private,R01,LEFT,8,YES,female,private,Private,NO,NO
NIGMS,13,PHYSICS,U_OF_CALIFORNIA_BERKELEY_K99,BERKELEY,CA,SCHOOLS OF ARTS AND SCIENCES,NIGMS,public,FALSE,FALSE,NIGMS,12,PHYSIOLOGY,ROCKEFELLER_U_R00,NEW YORK,NY,GRADUATE SCHOOLS,2016,NIGMS,Private,DP2,LEFT,3,YES,male,public,Private,NO,NO
NIAID,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NIAID,Private,TRUE,FALSE,NIAID,7,UnavaiLABle,BROAD_INST_INC_R00,CAMBRIDGE,MA,Research Institutes,2009,NIAID,Private,Unknown,LEFT,13,NO,male,Private,Private,YES,NO
NEI,11,PHARMACOLOGY,CASE_WESTERN_RESERVE_U_K99,CLEVELAND,OH,SCHOOLS OF MEDICINE,NEI,Private,TRUE,TRUE,NEI,11,PHARMACOLOGY,CASE_WESTERN_RESERVE_U_R00,CLEVELAND,OH,SCHOOLS OF MEDICINE,2012,NEI,Private,Unknown,STAYED,10,NO,male,Private,Private,NO,NO
NCI,25,RADIATION-DIAGNOSTIC/ONCOLOGY,U_OF_ROCHESTER_K99,ROCHESTER,NY,SCHOOL OF MEDICINE & DENTISTRY,NCI,private,FALSE,TRUE,NCI,25,INTERNAL MEDICINE/MEDICINE,U_OF_ROCHESTER_R00,ROCHESTER,NY,SCHOOL OF MEDICINE & DENTISTRY,2021,NCI,private,Unknown,STAYED,1,NO,female,private,private,NO,NO
NIGMS,7,BIOCHEMISTRY,HARVARD_MED_SCH_K99,BOSTON,MA,SCHOOLS OF MEDICINE,NIGMS,Private,TRUE,FALSE,NIGMS,1,BIOCHEMISTRY,MED_U_OF_SOUTH_CAROLINA_R00,CHARLESTON,SC,SCHOOLS OF MEDICINE,2015,NIGMS,Private,R35,LEFT,2,YES,male,Private,Private,NO,NO
NIGMS,2,CHEMISTRY,U_OF_COLORADO_K99,Boulder,CO,SCHOOLS OF ARTS AND SCIENCES,NIGMS,Public,FALSE,FALSE,NIGMS,12,BIOCHEMISTRY,WEILL_MED_COLL_OF_CORNELL_U_R00,NEW YORK,NY,SCHOOLS OF MEDICINE,2021,NIGMS,Private,Unknown,LEFT,1,NO,male,Public,Private,NO,NO
NCI,7,UnavaiLABle,DANA-FARBER_CANCER_INST_K99,BOSTON,MA,Independent Hospitals,NCI,Private,FALSE,TRUE,NCI,7,NONE,DANA-FARBER_CANCER_INST_R00,BOSTON,MA,ORGANIZED RESEARCH UNITS,2016,NCI,Private,R01,STAYED,3,YES,female,Private,Private,NO,NO
NCI,5,PEDIATRICS,VANDERBILT_U_K99,Nashville,TN,SCHOOLS OF MEDICINE,NCI,Private,FALSE,TRUE,NCI,5,SURGERY,VANDERBILT_U_R00,Nashville,TN,SCHOOLS OF MEDICINE,2010,NCI,Private,Unknown,STAYED,12,NO,male,Private,Private,YES,YES
NIMH,7,ANATOMY/CELL BIOLOGY,HARVARD_MED_SCH_K99,BOSTON,MA,SCHOOLS OF MEDICINE,NIMH,Private,FALSE,FALSE,NIMH,4,BIOLOGY,BOSTON_COLL_R00,CHESTNUT HILL,MA,SCHOOLS OF ARTS AND SCIENCES,2014,NIMH,Private,R01,LEFT,3,YES,female,Private,Private,NO,NO
NIDA,10,NEUROSCIENCES,ROSALIND_FRANKLIN_U_OF_MED_&_SCI_K99,NORTH CHICAGO,IL,SCHOOLS OF MEDICINE,NIDA,Private,FALSE,FALSE,NIDA,1,ANATOMY/CELL BIOLOGY,ROWAN_U_SCH/OSTEOPATHIC_MED_R00,STRATFORD,NJ,SCHOOLS OF OSTEOPATHIC MEDICINE,2017,NIDA,Private,Unknown,LEFT,5,NO,female,Private,Private,NO,NO
NIBIB,27,NONE,CALIFORNIA_INST_OF_TECH_K99,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,NIBIB,Private,FALSE,FALSE,NIBIB,2,BIOMEDICAL ENGINEERING,RICE_U_R00,HOUSTON,TX,BIOMED ENGR/COL ENGR/ENGR STA,2020,NIBIB,Private,Unknown,LEFT,2,NO,male,Private,Private,NO,NO
NINDS,9,GENETICS,BAYLOR_COLL_OF_MED_K99,HOUSTON,TX,SCHOOLS OF MEDICINE,NINDS,Private,FALSE,FALSE,NINDS,98,PHARMACOLOGY,GEORGE_WASHINGTON_U_R00,WASHINGTON,DC,SCHOOLS OF MEDICINE,2017,NINDS,Private,R01,LEFT,5,YES,female,Private,Private,NO,NO
NHLBI,18,PATHOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NHLBI,Private,FALSE,FALSE,NHLBI,37,OTHER BASIC SCIENCES,U_OF_SOUTHERN_CALIFORNIA_R00,Los Angeles,CA,SCHOOLS OF MEDICINE,2014,NHLBI,Private,R01,LEFT,4,YES,male,Private,Private,YES,NO
NCI,11,OTHER BASIC SCIENCES,CLEVELAND_CLINIC_LERNER_COM-CWRU_K99,CLEVELAND,OH,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,6,MICROBIOLOGY/IMMUN/VIROLOGY,WAKE_FOREST_U_HEALTH_SCI_R00,WINSTON-SALEM,NC,SCHOOLS OF MEDICINE,2017,NCI,Private,R01,LEFT,5,YES,male,Private,Private,NO,NO
NHGRI,18,DERMATOLOGY,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NHGRI,Private,FALSE,FALSE,NHGRI,37,PHARMACOLOGY,U_OF_SOUTHERN_CALIFORNIA_R00,Los Angeles,CA,SCHOOLS OF PHARMACY,2019,NHGRI,Private,R35,LEFT,3,YES,male,Private,Private,YES,NO
NCI,18,BIOPHYSICS,STANFORD_U_K99,STANFORD,CA,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,14,UnavaiLABle,H_LEE_MOFFITT_CANCER_CTR_&_RES_INST_R00,TAMPA,FL,Research Institutes,2017,NCI,Private,R35,LEFT,2,YES,male,Private,Private,YES,NO
NIEHS,1,UnavaiLABle,LOVELACE_BIOMED_&_ENVIRON_RES_INST_K99,Albuquerque,NM,Research Institutes,NIEHS,Private,TRUE,TRUE,NIEHS,1,UnavaiLABle,LOVELACE_BIOMED_&_ENVIRON_RES_INST_R00,Albuquerque,NM,Research Institutes,2009,NIEHS,Private,Unknown,STAYED,13,NO,female,Private,Private,NO,NO
NIDA,7,UnavaiLABle,BOSTON_MED_CTR_K99,BOSTON,MA,Independent Hospitals,NIDA,Private,TRUE,TRUE,NIDA,7,UnavaiLABle,BOSTON_MED_CTR_R00,BOSTON,MA,Independent Hospitals,2018,NIDA,Private,Unknown,STAYED,4,NO,male,Private,Private,NO,NO
NIDCD,7,UnavaiLABle,SEATTLE_CHILDRENS_HOSP_K99,SEATTLE,WA,Independent Hospitals,NIDCD,Private,TRUE,TRUE,NIDCD,7,UnavaiLABle,SEATTLE_CHILDRENS_HOSP_R00,SEATTLE,WA,Independent Hospitals,2013,NIDCD,Private,Unknown,STAYED,9,NO,female,Private,Private,NO,NO
NEI,27,NONE,CALIFORNIA_INST_OF_TECH_K99,PASADENA,CA,SCHOOLS OF ARTS AND SCIENCES,NEI,Private,FALSE,FALSE,NEI,2,BIOCHEMISTRY,RICE_U_R00,HOUSTON,TX,SCHOOLS OF ARTS AND SCIENCES,2009,NEI,Private,R01,LEFT,3,YES,male,Private,Private,NO,NO
NIGMS,7,UnavaiLABle,BRIGHAM_&_WOMENS_HOSP_K99,BOSTON,MA,Independent Hospitals,NIGMS,Private,FALSE,FALSE,NIGMS,7,BIOCHEMISTRY,BOSTON_U_MED_CAMPUS_R00,BOSTON,MA,SCHOOLS OF MEDICINE,2020,NIGMS,Private,R35,LEFT,3,YES,male,Private,Private,YES,NO
NIA,6,INTERNAL MEDICINE/MEDICINE,WAKE_FOREST_U_HEALTH_SCI_K99,WINSTON-SALEM,NC,SCHOOLS OF MEDICINE,NIA,Private,FALSE,TRUE,NIA,6,UnavaiLABle,WAKE_FOREST_U_HEALTH_SCI_R00,WINSTON-SALEM,NC,Domestic Higher Education,2015,NIA,Private,R01,STAYED,3,YES,male,Private,Private,NO,NO
NIMH,7,OTHER HEALTH PROFESSIONS,U_OF_WASHINGTON_K99,SEATTLE,WA,SCHOOLS OF ARTS AND SCIENCES,NIMH,Public,FALSE,FALSE,NIMH,7,UnavaiLABle,SEATTLE_CHILDRENS_HOSP_R00,SEATTLE,WA,Independent Hospitals,2022,OD,Private,Unknown,LEFT,0,NO,female,Public,Private,YES,NO
NIGMS,23,NONE,CORNELL_U_K99,ITHACA,NY,ORGANIZED RESEARCH UNITS,NIGMS,Private,FALSE,FALSE,NIGMS,5,ANATOMY/CELL BIOLOGY,VANDERBILT_U_R00,Nashville,TN,SCHOOLS OF MEDICINE,2014,NIGMS,Private,R01,LEFT,3,YES,male,Private,Private,NO,YES
NCI,9,ANATOMY/CELL BIOLOGY,BAYLOR_COLL_OF_MED_K99,HOUSTON,TX,SCHOOLS OF MEDICINE,NCI,Private,FALSE,FALSE,NCI,1,BIOCHEMISTRY,TULANE_U_OF_LOUISIANA_R00,NEW ORLEANS,LA,SCHOOLS OF MEDICINE,2013,NCI,Private,R01,LEFT,5,YES,female,Private,Private,NO,NO
